timestamp,ADA_close,ETH_close
2025-09-19 00:00:00,0.934,4608.0
2025-09-19 01:00:00,0.933014,4609.18
2025-09-19 02:00:00,0.925305,4590.13
2025-09-19 03:00:00,0.919201,4550.23
2025-09-19 04:00:00,0.922441,4559.58
2025-09-19 05:00:00,0.915613,4543.61
2025-09-19 06:00:00,0.904712,4524.84
2025-09-19 07:00:00,0.90514,4541.63
2025-09-19 08:00:00,0.907939,4535.7
2025-09-19 09:00:00,0.902409,4522.97
2025-09-19 10:00:00,0.903369,4532.72
2025-09-19 11:00:00,0.896311,4518.12
2025-09-19 12:00:00,0.899761,4519.85
2025-09-19 13:00:00,0.906768,4530.01
2025-09-19 14:00:00,0.899462,4497.59
2025-09-19 15:00:00,0.897148,4476.19
2025-09-19 16:00:00,0.904919,4483.37
2025-09-19 17:00:00,0.8977,4461.06
2025-09-19 18:00:00,0.896414,4450.93
2025-09-19 19:00:00,0.895401,4442.88
2025-09-19 20:00:00,0.893001,4461.1
2025-09-19 21:00:00,0.896799,4473.07
2025-09-19 22:00:00,0.896221,4470.76
2025-09-19 23:00:00,0.890624,4471.11
2025-09-20 00:00:00,0.8972,4477.24
2025-09-20 01:00:00,0.895323,4469.69
2025-09-20 02:00:00,0.896547,4468.7
2025-09-20 03:00:00,0.894608,4467.96
2025-09-20 04:00:00,0.894987,4475.32
2025-09-20 05:00:00,0.899503,4481.26
2025-09-20 06:00:00,0.90217,4477.04
2025-09-20 07:00:00,0.90563,4484.05
2025-09-20 08:00:00,0.894866,4469.14
2025-09-20 09:00:00,0.891701,4467.47
2025-09-20 10:00:00,0.889416,4465.62
2025-09-20 11:00:00,0.895323,4472.87
2025-09-20 12:00:00,0.895213,4465.46
2025-09-20 13:00:00,0.896647,4470.19
2025-09-20 14:00:00,0.898745,4489.22
2025-09-20 15:00:00,0.900309,4499.6
2025-09-20 16:00:00,0.899298,4504.26
2025-09-20 17:00:00,0.89438,4486.35
2025-09-20 18:00:00,0.891915,4478.76
2025-09-20 19:00:00,0.891837,4480.0
2025-09-20 20:00:00,0.894771,4486.21
2025-09-20 21:00:00,0.896568,4492.31
2025-09-20 22:00:00,0.896238,4495.0
2025-09-20 23:00:00,0.893371,4481.59
2025-09-21 00:00:00,0.896482,4489.34
2025-09-21 01:00:00,0.892663,4483.43
2025-09-21 02:00:00,0.896901,4482.16
2025-09-21 03:00:00,0.898853,4479.16
2025-09-21 04:00:00,0.898085,4473.45
2025-09-21 05:00:00,0.899714,4479.75
2025-09-21 06:00:00,0.900102,4487.87
2025-09-21 07:00:00,0.899901,4480.52
2025-09-21 08:00:00,0.892689,4469.8
2025-09-21 09:00:00,0.8864,4468.07
2025-09-21 10:00:00,0.882101,4460.54
2025-09-21 11:00:00,0.883645,4462.86
2025-09-21 12:00:00,0.8861,4471.08
2025-09-21 13:00:00,0.888564,4476.16
2025-09-21 14:00:00,0.885672,4475.12
2025-09-21 15:00:00,0.886635,4486.17
2025-09-21 16:00:00,0.88,4478.35
2025-09-21 17:00:00,0.886978,4495.61
2025-09-21 18:00:00,0.89,4497.96
2025-09-21 19:00:00,0.88881,4496.99
2025-09-21 20:00:00,0.887368,4481.01
2025-09-21 21:00:00,0.885248,4474.47
2025-09-21 22:00:00,0.888206,4467.27
2025-09-21 23:00:00,0.8842,4447.0
2025-09-22 00:00:00,0.865354,4340.01
2025-09-22 01:00:00,0.864072,4330.29
2025-09-22 02:00:00,0.85327,4291.84
2025-09-22 03:00:00,0.855625,4306.0
2025-09-22 04:00:00,0.853812,4293.01
2025-09-22 05:00:00,0.836,4231.84
2025-09-22 06:00:00,0.825002,4195.0
2025-09-22 07:00:00,0.818113,4195.97
2025-09-22 08:00:00,0.821321,4199.07
2025-09-22 09:00:00,0.815147,4151.35
2025-09-22 10:00:00,0.825986,4185.57
2025-09-22 11:00:00,0.822899,4184.47
2025-09-22 12:00:00,0.828209,4195.47
2025-09-22 13:00:00,0.830693,4209.62
2025-09-22 14:00:00,0.825442,4193.3
2025-09-22 15:00:00,0.820714,4170.46
2025-09-22 16:00:00,0.820534,4169.79
2025-09-22 17:00:00,0.822654,4167.67
2025-09-22 18:00:00,0.819201,4160.91
2025-09-22 19:00:00,0.81485,4137.3
2025-09-22 20:00:00,0.823276,4185.27
2025-09-22 21:00:00,0.82742,4201.37
2025-09-22 22:00:00,0.825094,4194.57
2025-09-22 23:00:00,0.825659,4203.07
2025-09-23 00:00:00,0.82324,4194.85
2025-09-23 01:00:00,0.815803,4167.58
2025-09-23 02:00:00,0.810834,4148.85
2025-09-23 03:00:00,0.822801,4191.18
2025-09-23 04:00:00,0.818873,4180.12
2025-09-23 05:00:00,0.819601,4185.09
2025-09-23 06:00:00,0.826901,4208.66
2025-09-23 07:00:00,0.82453,4207.73
2025-09-23 08:00:00,0.826275,4211.12
2025-09-23 09:00:00,0.823082,4196.61
2025-09-23 10:00:00,0.823772,4195.14
2025-09-23 11:00:00,0.822966,4195.12
2025-09-23 12:00:00,0.823809,4198.95
2025-09-23 13:00:00,0.821933,4188.99
2025-09-23 14:00:00,0.819194,4176.7
2025-09-23 15:00:00,0.82279,4184.01
2025-09-23 16:00:00,0.827194,4196.42
2025-09-23 17:00:00,0.815748,4152.66
